userid,foodid
8193, 845 188 1044 44 992 963 2033 224 899 1719 1948 626 677 352 204 425 611 1162 194 3727
8194, 2120 362 1834 1365 1071 1967 308 630 12 134 947 1963 938 1016 756 1411 1283 539 1114 193
8195, 907 1091 1398 776 1365 882 1306 1082 2026 376 503 2225 1146 1234 134 445 71 654 1153 1119
6, 1306 413 689 1134 382 858 465 940 1940 218 710 2033 240 341 2550 835 537 1624 289 265
8, 194 505 1399 1851 2195 1046 132 446 566 534 2565 1943 368 1527 2089 409 357 915 473 111
10, 2020 1365 353 828 1042 1411 170 771 1599 1176 1837 217 826 84 105 68 1585 1315 577 645
8203, 1474 1427 1294 769 756 1042 1366 118 441 494 1628 102 969 799 1125 211 668 1932 721 147
12, 107 779 347 583 1046 210 14 1051 2900 110 282 194 302 838 1527 1584 209 334 331 821
13, 580 353 1474 107 891 828 368 132 1835 246 1399 1176 1804 1770 820 8 219 276 38 19
8210, 8 863 532 626 56 342 1306 2000 1095 1130 1907 793 69 403 518 754 11 487 977 1333
8216, 1705 1779 1021 741 835 787 1162 1176 626 858 842 1248 534 597 782 620 2225 501 599 155
8217, 269 549 248 534 259 443 35 613 938 198 241 24 520 863 882 904 710 576 771 1669
8218, 1082 38 152 730 473 242 640 2626 594 815 1134 577 2020 338 755 958 1304 630 1728 3727
31, 1221 654 436 204 1084 910 2026 1008 71 645 667 1362 1151 1470 265 403 125 1756 1369 1032
8224, 87 324 41 1154 620 448 1948 287 117 1248 1206 350 708 718 1907 730 689 1016 109 2145
8225, 266 936 134 1130 65 626 256 765 263 109 812 755 2626 175 954 509 33 662 155 556
8226, 1728 1248 755 209 947 1754 4481 982 1028 915 1046 584 330 2626 473 618 236 425 668 845
8227, 689 455 1016 849 248 484 452 1584 3207 112 139 626 654 898 436 433 1907 776 136 637
36, 139 1134 81 249 576 136 126 947 726 327 211 102 1553 273 565 755 123 99 1361 889
41, 384 41 355 2000 1362 76 291 14 353 354 1153 2613 213 690 1585 815 1134 707 1365 82
8236, 228 2613 566 308 248 1264 44 414 1080 76 908 236 117 380 573 708 7 173 1349 407
8238, 867 522 567 1530 302 1536 362 389 509 882 1523 427 737 198 439 463 969 63 940 1559
47, 109 771 348 1365 201 1084 1248 30 907 1586 376 133 916 307 1212 616 1305 918 1435 1321
8240, 34 625 567 436 28 2613 731 68 741 1705 347 242 289 841 837 539 76 302 273 568
50, 25 958 107 726 354 847 443 127 898 45 849 1256 114 1907 249 1288 468 580 1458 626
8243, 42 838 1996 1212 341 591 664 644 719 235 425 211 606 207 2864 334 1205 1669 638 665
52, 1051 2026 1470 323 662 262 110 1585 669 3617 52 810 2005 449 330 42 312 776 849 741
8247, 19 737 689 407 1130 464 1234 1365 2602 346 102 2864 106 918 81 80 1274 826 389 1628
8248, 269 1691 1248 522 2864 509 772 992 1365 1697 465 1076 1586 201 1761 611 380 2026 838 43
8250, 25 611 1624 256 665 930 212 90 221 910 1474 1874 613 643 1315 127 1362 407 556 822
8251, 403 772 253 3247 863 837 1080 513 394 628 2229 14 1016 1264 620 266 644 739 529 992
63, 1458 718 324 417 748 2000 520 277 381 368 943 668 219 842 1228 1119 779 522 963 3028
8257, 858 408 25 689 758 99 1007 2636 1127 445 179 1352 1080 1263 334 644 110 580 123 350
8258, 24 380 1051 741 845 2626 1452 1315 707 109 28 662 1694 67 1176 1996 468 2000 2005 29
67, 42 720 295 465 43 1365 2020 192 837 47 414 846 1305 1628 618 524 341 496 888 2467
8261, 645 1474 324 837 131 1095 747 501 11 355 1929 1399 218 2020 776 590 2292 147 168 737
71, 107 534 904 918 25 899 820 1294 287 12 2549 323 453 958 494 189 2167 464 1405 882
72, 452 427 838 1392 1576 1359 229 970 93 1628 982 563 440 369 1991 769 96 958 771 353
8204, 534 132 535 7 262 1300 11 354 228 61 111 721 985 938 1618 754 1154 889 362 403
8266, 242 1096 287 713 408 762 677 334 269 2252 348 1929 1243 867 3617 568 1754 787 574 3019
82, 27 475 482 17 414 423 1162 473 1948 105 2 352 1041 398 539 3027 170 719 919 1060
8276, 668 722 954 1996 907 107 3186 2233 712 453 260 1008 287 709 1585 1907 2177 2072 1300 170
85, 139 34 440 1306 947 433 3890 384 962 253 1205 1478 556 563 1359 200 4 646 845 3
86, 18 1084 408 425 807 1889 522 240 209 938 936 726 136 334 2000 837 287 531 1155 3
8279, 107 1585 565 25 2053 2313 1335 1412 17 189 166 261 1305 888 324 86 117 180 645 2271
8282, 25 19 2271 737 2177 440 668 1096 1669 1651 625 417 1274 30 2277 591 1283 307 731 662
8283, 574 534 539 1361 86 838 889 613 891 969 394 580 446 274 1628 1051 930 331 720 1264
8286, 18 539 216 510 61 362 665 210 567 2005 838 48 27 556 815 229 541 82 708 2177
95, 1113 195 289 2636 2704 935 1618 2120 362 1883 899 1628 1411 534 576 620 317 451 496 43
8292, 42 2602 394 638 958 1362 845 918 1306 102 691 891 518 1256 626 262 110 689 179 731
104, 25 888 341 625 147 180 28 87 96 334 907 847 2177 1179 566 418 347 109 407 2225
8298, 828 849 468 837 1044 413 940 620 815 307 1834 921 452 52 1033 1119 348 181 1051 994
108, 259 262 126 1306 863 1205 65 1628 96 2145 418 867 537 198 731 1399 109 350 1298 440
109, 42 497 1492 122 518 1427 3617 1470 501 362 625 179 109 2602 606 198 822 84 381 452
113, 25 940 418 33 2225 1301 449 1028 262 504 799 613 179 1071 1382 287 1025 65 448 891
8307, 25 246 406 392 2613 867 334 1586 755 2177 134 2730 126 930 549 1645 1474 1105 724 613
116, 771 1365 985 845 625 849 355 3617 266 342 465 1492 14 708 225 530 348 1883 496 772
8309, 107 331 1740 769 207 14 210 541 229 82 216 436 97 1948 315 1943 1299 1694 2515 354
8311, 67 1754 60 638 904 763 4 731 284 396 1996 269 1084 109 1263 1474 2167 1176 440 2302
8318, 102 556 45 61 1754 211 403 147 907 918 125 8 940 1697 41 2085 152 465 973 762
136, 330 954 2233 1306 293 3586 262 1584 134 2331 674 132 199 606 334 513 41 969 973 826
138, 482 1697 247 80 110 96 25 350 704 402 771 463 1680 308 2467 1458 439 476 1635 209
143, 18 34 414 25 248 42 915 2605 1907 473 1948 48 1051 951 1007 747 242 38 348 770
144, 762 1694 2072 2085 350 1154 545 1205 452 1834 509 880 1853 2145 317 754 493 1424 1398 613
145, 954 27 330 1445 509 826 219 563 144 522 188 1305 338 797 1853 907 847 726 863 645
146, 464 233 646 777 223 1470 342 453 1084 636 307 1628 2387 2056 256 513 849 580 674 287
8342, 28 102 891 782 2237 383 12 188 1228 1719 455 2233 453 2167 595 1935 1655 2602 67 720
151, 41 19 2005 838 2467 362 549 772 216 295 82 210 110 1804 1584 1335 28 541 104 510
8344, 2000 162 756 274 690 269 27 1105 858 290 835 179 1719 1028 442 462 597 1220 706 762
