userid,foodid
8193, 61 230 117 224 69 212 1 577 194 125 272 284 129 382 185 506 53 437 97 124
8194, 81 192 83 167 178 212 322 395 435 369 125 396 284 129 442 244 404 382 529 5
8195, 42 110 230 133 83 4 178 1 104 261 309 369 73 129 442 22 404 382 529 5
6, 192 230 224 178 212 294 577 435 194 395 309 261 213 322 530 807 369 396 272 284
8, 173 133 83 178 577 2 435 395 137 530 369 168 194 839 105 396 404 382 529 506
10, 80 224 4 178 69 117 133 173 212 83 294 530 577 2 104 322 309 261 114 369
8203, 102 230 117 173 294 2 137 530 261 309 369 114 125 396 272 284 442 244 404 382
12, 107 102 81 61 110 230 67 117 224 47 83 69 4 178 294 212 577 104 322 395
13, 107 19 61 67 47 117 435 1 173 309 261 137 322 530 807 38 396 284 839 22
8210, 102 230 133 224 83 167 69 4 1 104 322 2 168 137 261 369 213 105 272 284
8216, 61 133 83 173 212 1 104 322 395 137 530 369 114 213 73 272 284 129 232 185
8217, 224 192 212 137 168 369 213 105 232 442 22 244 382 529 185 506 437 97 402 162
8218, 80 61 110 67 192 167 178 173 294 212 577 2 395 137 435 261 396 73 284 22
31, 81 110 117 224 47 83 1 104 322 395 168 166 309 369 194 839 125 396 73 232
8224, 61 81 102 41 224 530 67 117 125 178 396 192 376 212 309 168 47 73 167 577
8225, 110 117 224 192 83 178 294 104 322 395 435 168 166 261 309 369 213 105 839 284
8226, 61 173 577 395 166 309 194 114 839 125 396 272 129 232 442 382 185 506 53 807
8227, 139 80 117 133 83 577 395 168 194 213 105 125 73 129 232 404 529 5 506 38
36, 3384 139 224 425 3921 102 3829 81 4714 168 117 125 2670 5380 76 194 213 636 110 1625
41, 41 102 61 110 230 224 178 47 4 435 1 173 166 194 395 309 125 261 213 530
8236, 230 117 47 133 173 167 83 577 137 322 369 73 105 839 213 284 382 232 22 97
8238, 19 81 224 192 47 83 167 178 1 104 2 137 435 168 530 166 309 213 105 839
47, 152 42 171 161 125 2858 406 402 1907 212 1304 41 213 224 83 133 322 167 166 67
8240, 34 41 102 81 230 67 117 192 47 83 69 4 212 104 395 137 168 530 309 194
50, 107 25 81 80 110 67 192 69 117 47 133 173 167 212 83 294 435 395 2 322
8243, 42 110 67 133 4 173 69 294 104 322 435 530 137 261 166 395 168 284 369 309
52, 42 81 110 67 224 4 294 1 577 322 395 137 435 530 166 261 309 194 114 213
8247, 19 80 102 81 61 117 47 133 83 1 2 322 168 261 369 114 839 284 442 244
8248, 41 80 230 67 224 47 133 173 294 577 104 322 137 435 166 261 309 369 213 129
8250, 25 61 133 83 167 173 212 1 577 322 168 114 125 396 73 284 129 232 442 22
8251, 110 4 577 2 322 395 194 213 105 396 73 284 129 232 442 244 404 529 5 185
63, 42 80 224 167 178 104 577 1 168 395 369 137 435 105 232 73 284 506 442 404
8257, 25 107 110 230 178 69 168 173 104 435 137 382 839 73 2 284 402 166 114 125
8258, 81 61 110 230 67 192 47 83 4 577 322 395 137 168 530 166 309 369 194 114
67, 42 102 67 192 47 133 69 173 294 212 1 577 2 322 395 137 530 261 309 369
8261, 41 81 117 224 133 167 294 322 435 530 261 166 395 168 369 839 129 382 22 73
71, 25 107 110 230 117 47 133 4 167 173 294 104 322 530 261 309 369 114 839 396
72, 230 117 192 47 69 178 104 168 530 166 309 369 194 114 213 105 839 396 73 284
8204, 102 61 192 69 167 178 2 322 395 137 168 530 166 261 309 369 194 114 105 396
8266, 67 69 224 117 4 577 173 309 105 125 114 807 369 272 839 129 604 442 22 232
82, 139 80 110 230 117 47 133 83 4 167 178 104 2 168 261 309 369 114 213 105
8276, 107 41 102 81 61 117 133 83 4 167 178 212 1 577 2 137 530 309 369 194
85, 139 34 80 110 230 117 192 47 133 83 69 4 167 173 2 168 166 261 309 369
86, 18 61 69 1 110 530 125 178 192 4 212 435 47 114 73 83 577 2 22 395
8279, 25 107 81 67 117 47 133 83 4 178 294 104 2 435 168 530 166 261 309 213
8282, 25 19 81 110 67 117 133 83 69 167 178 212 104 322 395 435 530 166 261 309
8283, 81 230 224 47 4 167 577 104 322 137 435 530 213 105 839 73 129 22 382 529
8286, 125 645 18 110 67 61 353 1 166 294 435 272 117 133 73 225 256 86 97 453
