foodid,annotated_food_name,dietary_supplement_cat,dietary_supplement_subcat,breakfast_cereal_cat,breakfast_cereal_subcat,side_dish_cat,side_dish_subcat,condiment_cat,condiment_subcat,beverage_cat,beverage_subcat,snack_cat,snack_subcat,dessert_cat,dessert_subcat,fast_food_brand_cat,fast_food_brand_subcat,snack_brand_cat,snack_brand_subcat,herb_spice_cat,herb_spice_subcat,staple_cat,staple_subcat,meat_cat,meat_subcat,egg_dairy_cat,egg_dairy_subcat,vegetable_cat,vegetable_subcat,mushroom_cat,mushroom_subcat,fruit_cat,fruit_subcat,nut_seed_cat,nut_seed_subcat,bean_legume_cat,bean_legume_subcat,preparation_cat,preparation_subcat,volume_q,volume_unit,mass_q,mass_unit,length_q,length_unit,serving_q,serving_unit,calories,fat,carbs,sodium,potassium,fiber,sugar,protein,calcium,iron
0,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1, ""egg_dairy__dairy_product"": 1, ""herb_spice__spices__vanilla"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.12,gram,-,-,-,-,120,0,16,-,-,-,-,13,-,-
1,"{""fruit"": 1, ""fruit__berry"": 1, ""fruit__berry__blueberry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,39.00,gram,-,-,-,-,22,0,6,-,-,-,-,0,-,-
2,"{""beverage__coffee"": 1, ""beverage"": 1, ""beverage__coffee__coffee"": 1}",-,-,-,-,-,-,-,-,beverage,coffee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,453.59,gram,-,-,-,-,4,0,0,-,-,-,-,1,-,-
3,"{""condiment__condiment__peanut_butter"": 1, ""dessert__confectionery__chocolate"": 1, ""condiment__condiment"": 1, ""dessert"": 1, ""dessert__confectionery"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,bar,200,13,17,-,-,-,-,7,-,-
4,"{""vegetable__leafy_salad"": 1, ""vegetable"": 1, ""vegetable__leafy_salad__grape"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,leafy_salad,-,-,-,-,-,-,-,-,-,-,-,-,78.00,gram,-,-,-,-,52,0,13,-,-,-,-,0,-,-
5,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__cream"": 1, ""egg_dairy__dairy_product"": 1, ""egg_dairy__dairy_product__cheese"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,29.57,milliliter,31.00,gram,-,-,-,-,80,7,2,-,-,-,-,2,-,-
6,"{""staple__wheat"": 1, ""meat"": 1, ""side_dish__soup"": 1, ""staple"": 1, ""staple__wheat__noodle"": 1, ""side_dish"": 1, ""meat__poultry__chicken"": 1, ""side_dish__soup__soup"": 1, ""meat__poultry"": 1}",-,-,-,-,side_dish,soup,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368.54,gram,-,-,-,-,140,3,0,-,-,-,-,5,-,-
7,"{""fruit"": 1, ""fruit__mediterranean"": 1, ""fruit__mediterranean__clementine"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,mediterranean,-,-,-,-,-,-,-,-,74.00,gram,-,-,-,-,35,0,9,-,-,-,-,1,-,-
8,"{""preparation__dry"": 1, ""meat"": 1, ""preparation"": 1, ""preparation__dry__roasted"": 1, ""meat__meat"": 1, ""meat__poultry"": 1, ""meat__meat__meat"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,100.00,gram,-,-,-,-,190,7,0,-,-,-,-,29,-,-
9,"{""side_dish__salad__salad"": 1, ""condiment__condiment"": 1, ""condiment__condiment__vinaigrette"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""condiment"": 1}",-,-,-,-,side_dish,salad,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,60,7,0,-,-,-,-,0,-,-
