userid,foodid
8193, 139 67 69 107 402 212 8 96 168 1162 125 102 309 382 1369 19 611 41 308 376
8194, 107 18 210 402 168 19 67 1162 442 376 80 308 139 425 309 117 8 96 611 435
8195, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
6, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 19 1369 611 308 32 41
8, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
10, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8203, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
12, 139 67 69 107 402 8 168 212 96 1162 125 102 309 41 611 1369 382 442 376 308
13, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8210, 139 69 67 107 402 8 168 212 96 19 1162 125 102 309 1369 382 611 41 442 376
8216, 139 67 402 168 102 309 8 69 107 96 1162 442 125 210 308 376 611 1369 41 117
8217, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 32 41
8218, 139 107 8 41 102 309 32 67 96 402 168 69 166 117 442 210 425 110 1162 574
31, 139 402 309 442 67 308 168 435 1162 212 376 41 166 69 210 261 96 117 107 611
8224, 107 309 376 1162 168 102 67 308 96 402 166 117 8 442 1369 574 353 1983 218 435
8225, 139 67 107 69 8 402 168 96 212 1162 125 102 309 382 1369 611 41 442 376 308
8226, 139 67 107 69 402 8 168 96 1162 125 212 102 41 309 611 442 1369 376 210 308
8227, 139 107 67 168 19 402 8 1162 69 96 125 308 210 442 425 1369 611 309 382 41
36, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 32 41
41, 139 67 69 107 402 212 8 168 96 1162 125 102 382 309 1369 611 19 41 32 308
8236, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8238, 139 110 69 442 212 309 574 308 402 168 96 67 8 166 125 261 376 382 1369 201
47, 139 67 69 107 8 402 168 96 1162 212 125 102 41 611 309 1369 442 382 376 308
8240, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
50, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8243, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
52, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8247, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8248, 139 18 168 19 402 67 107 442 8 210 308 69 1162 309 96 376 117 125 611 1369
8250, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8251, 139 107 309 168 402 67 102 8 308 41 442 210 96 69 376 1162 1369 125 611 32
63, 139 67 69 107 402 212 8 168 96 125 1162 102 309 382 1369 611 19 41 308 32
8257, 139 309 107 168 67 69 19 96 402 110 1162 8 212 442 376 125 210 308 1369 102
8258, 139 67 69 107 402 8 212 168 96 102 1162 125 309 382 1369 611 41 442 376 308
67, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8261, 139 107 308 402 168 442 69 212 376 96 309 1162 210 8 261 41 963 435 1369 125
71, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
72, 139 67 107 69 8 168 402 96 212 1162 102 125 309 19 382 611 1369 442 41 376
8204, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8266, 139 67 107 69 402 8 168 96 212 1162 125 102 309 611 1369 41 382 442 376 308
82, 139 19 69 402 168 308 67 212 309 96 1162 442 125 210 376 102 8 166 435 382
8276, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
85, 139 67 69 402 212 107 8 168 96 125 1162 102 382 309 1369 19 611 308 41 32
86, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8279, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8282, 139 67 69 402 8 212 107 168 96 102 1162 125 309 41 1369 382 611 19 308 442
8283, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
